Date,Value
31-Dec-23,320.29
30-Nov-23,369.78
31-Oct-23,384.54
30-Sep-23,420.69
31-Aug-23,402.11
31-Jul-23,304.95
30-Jun-23,321.69
31-May-23,339.3
30-Apr-23,362.53
31-Mar-23,381.17
28-Feb-23,407.58
31-Jan-23,422.17
31-Dec-22,395.11
30-Nov-22,544.95
31-Oct-22,565.42
30-Sep-22,512.19
31-Aug-22,466.97
31-Jul-22,531.45
30-Jun-22,622.39
31-May-22,552
30-Apr-22,497.37
31-Mar-22,472.87
28-Feb-22,389.42
31-Jan-22,342.54
31-Dec-21,323.33
30-Nov-21,343.09
31-Oct-21,349.6
30-Sep-21,311.74
31-Aug-21,300.7
31-Jul-21,305.39
30-Jun-21,296.8
31-May-21,296.7
30-Apr-21,263.4
31-Mar-21,282.5
28-Feb-21,247
31-Jan-21,217.6
31-Dec-20,209.4
30-Nov-20,187
31-Oct-20,174.2
30-Sep-20,165.7
31-Aug-20,178.2
31-Jul-20,168.6
30-Jun-20,130.1
31-May-20,101.8
30-Apr-20,116.1
31-Mar-20,160.4
29-Feb-20,184
31-Jan-20,205.4
31-Dec-19,219.5
30-Nov-19,212.7
31-Oct-19,210.6
30-Sep-19,208
31-Aug-19,198.5
31-Jul-19,209.4
30-Jun-19,197
31-May-19,224.4
30-Apr-19,226.2
31-Mar-19,227.3
28-Feb-19,207.8
31-Jan-19,191.6
31-Dec-18,221.5
30-Nov-18,252.6
31-Oct-18,258.4
30-Sep-18,249.8
31-Aug-18,242
31-Jul-18,244.2
30-Jun-18,248.9
31-May-18,238.8
30-Apr-18,220.5
31-Mar-18,214
28-Feb-18,216.6
31-Jan-18,218
31-Dec-17,212.7
30-Nov-17,211.2
31-Oct-17,202.9
30-Sep-17,192.5
31-Aug-17,179
31-Jul-17,169.1
30-Jun-17,163.1
31-May-17,165.3
30-Apr-17,157.9
31-Mar-17,158
28-Feb-17,159.7
31-Jan-17,158
31-Dec-16,153.3
30-Nov-16,152.9
31-Oct-16,153.4
30-Sep-16,155.5
31-Aug-16,143.5
31-Jul-16,152.2
30-Jun-16,149.4
31-May-16,137.8
30-Apr-16,116.8
31-Mar-16,113.8
29-Feb-16,107.7
31-Jan-16,114.4
31-Dec-15,131.1
30-Nov-15,159.7
31-Oct-15,165.3
30-Sep-15,163.1
31-Aug-15,180.4
31-Jul-15,187
30-Jun-15,193.4
31-May-15,196.6
30-Apr-15,178.2
31-Mar-15,185.7
28-Feb-15,184.3
31-Jan-15,173.6
31-Dec-14,218.9
30-Nov-14,260.9
31-Oct-14,271.4
30-Sep-14,291
31-Aug-14,293.9
31-Jul-14,295.3
30-Jun-14,296.5
31-May-14,304.4
30-Apr-14,306.7
31-Mar-14,306.5
28-Feb-14,309.1
31-Jan-14,297.5
31-Dec-13,302.9
30-Nov-13,295.3
31-Oct-13,306.8
30-Sep-13,315.3
31-Aug-13,307.4
31-Jul-13,300.4
30-Jun-13,294.9
31-May-13,296.4
30-Apr-13,303.9
31-Mar-13,308.7
28-Feb-13,327.7
31-Jan-13,303.6
31-Dec-12,303.3
30-Nov-12,311.6
31-Oct-12,334.1
30-Sep-12,330.4
31-Aug-12,313.4
31-Jul-12,287.9
30-Jun-12,284.6
31-May-12,315.6
30-Apr-12,327.1
31-Mar-12,330.8
29-Feb-12,316.5
31-Jan-12,308.8
31-Dec-11,301
30-Nov-11,322.7
31-Oct-11,299.6
30-Sep-11,306.5
31-Aug-11,296.9
31-Jul-11,311.5
30-Jun-11,316.9
31-May-11,315.1
30-Apr-11,325.1
31-Mar-11,307.5
28-Feb-11,278.8
31-Jan-11,260.4
31-Dec-10,250
30-Nov-10,245.3
31-Oct-10,235.8
30-Sep-10,220
31-Aug-10,221.4
31-Jul-10,209.3
30-Jun-10,212.4
31-May-10,226
30-Apr-10,231.5
31-Mar-10,217
28-Feb-10,200.2
31-Jan-10,220.7
31-Dec-09,197.5
30-Nov-09,207.8
31-Oct-09,193.3
30-Sep-09,186.6
31-Aug-09,196.1
31-Jul-09,165.2
30-Jun-09,183.7
31-May-09,158.6
30-Apr-09,159.9
31-Mar-09,136.8
28-Feb-09,145.6
31-Jan-09,159.8
31-Dec-08,163
30-Nov-08,218.2
31-Oct-08,279
30-Sep-08,335.1
31-Aug-08,343.9
31-Jul-08,423.8
30-Jun-08,410.5
31-May-08,384.9
30-Apr-08,352.5
31-Mar-08,339.6
29-Feb-08,280.2
31-Jan-08,273.8
31-Dec-07,266.7
30-Nov-07,288.2
31-Oct-07,243.3
30-Sep-07,238.9
31-Aug-07,225.5
31-Jul-07,237.8
30-Jun-07,222.4
31-May-07,225.3
30-Apr-07,230.10
31-Mar-07,230.60
28-Feb-07,223.10
31-Jan-07,220.50
31-Dec-06,225.30
30-Nov-06,221.40
31-Oct-06,204.80
30-Sep-06,225.20
31-Aug-06,223.80
31-Jul-06,218.20
30-Jun-06,217.70
31-May-06,227.90
30-Apr-06,231.10
31-Mar-06,238.20
28-Feb-06,249.80
31-Jan-06,268.50
31-Dec-05,259.80
30-Nov-05,276.60
31-Oct-05,282.00
30-Sep-05,248.70
31-Aug-05,219.20
31-Jul-05,214.00
30-Jun-05,205.70
31-May-05,208.90
30-Apr-05,209.90
31-Mar-05,198.60
28-Feb-05,196.80
31-Jan-05,198.30
31-Dec-04,202.80
30-Nov-04,204.90
31-Oct-04,191.70
30-Sep-04,188.40
31-Aug-04,194.50
31-Jul-04,193.70
30-Jun-04,193.90
31-May-04,184.10
30-Apr-04,180.10
31-Mar-04,178.70
29-Feb-04,181.00
31-Jan-04,178.00
31-Dec-03,168.70
30-Nov-03,168.20
