Table 2.17: Gross domestic product by activity,,,,,,,,,,,
,,,,,,,,,,,Percentage Changes (growth)
Year,Quar-ter,Agriculture,Mining and quarrying,Manufac-turing,Electricity and water supply,Construc-tion,Wholesale and retail trade,Accommodation & restaurant,Transport and storage,Information and communication,Financial & insurance
2018,,5.7,-4.7,3.6,3.6,6.1,5.9,15.6,6.0,7.9,2.7
2019,,2.7,4.3,2.6,1.7,7.2,5.3,14.3,6.3,7.0,8.1
2020+,,4.6,5.5,-0.3,0.6,10.1,-0.4,-47.7,-8.0,6.0,5.9
2021+,,-0.4,18.0,7.3,5.6,6.7,8.0,52.6,7.4,6.1,11.5
2022*,,-1.6,9.3,2.7,4.9,4.1,3.8,26.2,5.6,9.9,12.8 
2018,1,4.1,4.4,5.2,4.1,6.6,5.1,16.8,4.3,7.2,2.7
,2,5.3,-4.6,2.9,3.0,7.0,6.4,15.9,6.7,8.0,0.9
,3,6.3,-11.4,2.7,4.1,7.6,5.8,10.9,5.3,7.7,0.7
,4,7.6,-7.2,3.5,3.2,3.3,6.4,18.5,7.7,8.7,6.3
2019,1,4.8,-1.3,2.7,3.0,6.1,4.5,15.5,6.8,8.8,7.3
,2,3.3,7.0,4.4,1.5,7.3,6.3,11.6,8.8,6.8,9.5
,3,0.9,5.5,2.7,1.5,7.9,5.3,11.9,4.6,6.5,10.7
,4,1.3,6.4,0.9,1.0,7.4,5.0,17.7,5.2,5.9,5.2
2020+,1,4.8,6.6,1.7,1.4,10.1,5.3,-11.5,1.9,8.5,6.4
,2,8.1,4.0,-5.1,-4.5,6.9,-3.9,-59.9,-17.0,5.3,3.6
,3,-4.4,5.6,-2.0,0.9,10.2,-5.0,-64.0,-10.4,4.6,3.1
,4,9.3,5.9,4.1,4.7,13.0,1.8,-56.2,-6.5,5.8,9.9
2021+,1,-0.6,10.4,2.0,3.9,6.2,8.8,-28.3,-7.9,5.1,10.1
,2,-1.8,10.6,11.1,7.7,6.9,10.3,69.7,18.5,11.8,13.2
,3,-0.6,16.0,10.5,7.1,6.7,6.6,145.1,14.6,1.4,10.6
,4,2.1,35.5,6.2,3.8,7.0,6.7,120.8,7.0,6.9,11.8
2022*,1,-1.7,23.8,3.8,3.2,6.0,4.9,40.1,7.5,9.0,17.0
,2,-2.4,16.6,3.6,5.6,4.5,4.1,44.0,7.0,11.2,16.1
,3,-1.3,-4.5,1.8,6.0,3.5,3.6,16.9,4.8,11.8,9.6
,4,-0.9,1.6,1.8,4.9,2.4,2.7,14.9,3.2,8.0,9.4
* Provisional,,,,,,,,,,,
+ Revised,,,,,,,,,,,
