"Table 8.16: Mean Annual Maximum and Minimum Temperatures by Region, 2012-2022",,,,,,,,,,
,,,,,,,,,,Degree Celsius
Region,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Maximum Temperatures,,,,,,,,,,
N-Western,35.5,35.9,36.2,36.0,35.9,35.0,36.0,35.4,36.1,35.9
N-Eastern,30.9,33.0,32.9,33.0,33.5,31.4,32.5,31.3,31.0,32.1
Western,26.2,26.2,26.9,26.6,26.2,25.3,26.6,25.8,26.3,26.5
C-Rift Valley,24.0,24.4,24.9,24.7,25.3,24.0,25.2,24.1,24.6,24.9
Central,23.9,24.0,24.6,24.0,25.0,24.1,25.2,24.4,24.9,25.0
Nairobi,25.5,25.7,26.3,25.8,26.0,24.4,25.3,24.7,24.1,24.9
S-Eastern,28.6,28.5,29.2,28.9,29.0,28.2,28.9,28.3,30.6,28.8
Coastal,30.5,30.7,30.9,31.0,31.0,30.7,31.0,30.8,31.0,30.5
Country,28.1,28.5,29.0,28.7,29.0,27.9,28.8,28.1,28.6,28.6
Minimum Temperatures,,,,,,,,,,
N-Western,24.3,24.2,24.7,24.9,23.8,24.7,24.3,24.7,24.1,24.8
N-Eastern,21.1,21.1,20.9,21.4,22.5,20.6,21.6,21.7,21.2,21.8
Western,13.8,13.8,14.2,14.2,13.1,13.3,14.6,14.6,14.3,14.9
C-Rift Valley,10.3,10.4,10.7,10.5,10.2,10.7,11.2,11.7,10.9,11.9
Central,13.4,13.6,13.4,13.6,12.8,13.0,13.4,13.5,12.5,13.1
Nairobi,14.1,14.4,14.4,14.3,14.6,14.3,14.8,14.9,14.4,15.4
S-Eastern,17.1,17.2,17.5,17.4,17.5,17.2,17.7,17.3,18.9,18.1
Coastal,23.5,23.7,23.9,24.0,24.0,23.5,24.3,24.2,24.1,24.5
Country,17.2,17.3,17.5,17.5,17.3,17.2,17.7,17.8,17.5,18.1
Source: Kenya Meteorological Department,,,,,,,,,,
